"","x","y","p","cor.est","p.nat","cor.est.nat","p.non","cor.est.non"
"cor","sumprojarea","peak_force",0.490130578858922,0.110871430838188,0.0763687158597486,-0.471008017906679,0.162366001030983,0.282278369988093
"cor1","sumprojarea","maxstress",0.197915683435958,-0.205274614978408,0.7380809993214,-0.0943314342837423,0.114859356360394,-0.316775498611835
"cor2","sumprojarea","maxstrain",0.116878832180973,-0.248707815710821,0.371758073827681,-0.248531698551884,0.42195673396411,-0.164500450433232
"cor3","sumprojarea","auc_modulus",0.119773239382761,-0.246820404046172,0.478259035823529,-0.198474609192525,0.216032905358626,-0.251062792162013
"cor4","sumprojarea","slope_Mpa",0.833834839820436,0.033798941875996,0.600262670164997,0.147342358864744,0.362322946971218,-0.186240996247043
"cor5","sumprojarea","peak_force",0.154146432057398,0.246090026480871,0.536756347958491,-0.209324294395058,0.13475489984547,0.314271103847225
"cor6","sumprojarea","maxstress",0.207429951708331,-0.218439726396423,0.692612800316862,-0.134849372569051,0.162734851287498,-0.294297549237962
"cor7","sumprojarea","maxstrain",0.159795677295308,-0.242861989226449,0.685926901347448,-0.137916120388924,0.514397010498409,-0.139901741560682
"cor8","sumprojarea","auc_modulus",0.15752710446292,-0.244148205675068,0.667987109029677,-0.146191542483984,0.304952970964269,-0.218525843246798
"cor9","sumprojarea","slope_Mpa",0.956387272798279,0.00959206777571548,0.862539122227401,-0.0592839012285835,0.350387402831807,-0.19933762585681
